Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,45.66,20.51,40.26,-0.19
0.00:0.00,45.54,20.47,40.23,-0.19
0.00:0.00,45.43,20.54,38.46,-0.20
0.00:0.00,45.33,20.53,35.37,-0.19
0.00:0.00,45.21,20.45,38.12,-0.19
0.00:0.00,45.10,20.36,39.04,-0.19
0.00:0.00,44.98,20.32,40.44,-0.19
0.00:0.00,44.86,20.39,41.78,-0.18
0.00:0.00,44.75,20.45,38.40,-0.19
0.00:0.00,44.62,20.33,42.11,-0.18
0.00:0.00,44.50,20.39,41.18,-0.19
0.00:0.00,44.40,20.45,36.63,-0.20
0.00:0.00,44.29,20.45,37.64,-0.20
0.00:0.00,44.18,20.38,37.96,-0.22
0.00:0.00,44.05,20.25,43.11,-0.23
0.00:0.00,43.93,20.38,42.12,-0.21
0.00:0.00,43.81,20.32,39.50,-0.22
0.00:0.00,43.70,20.35,37.80,-0.22
0.00:0.00,43.59,20.34,39.06,-0.21
0.00:0.00,43.47,20.36,39.79,-0.22
0.00:0.00,43.36,20.35,38.86,-0.22
0.00:0.00,43.25,20.38,37.63,-0.23
0.00:0.00,43.13,20.21,40.21,-0.22
0.00:0.00,43.02,20.32,38.27,-0.23
0.00:0.00,42.90,20.35,38.70,-0.23
0.00:0.00,42.79,20.41,37.43,-0.24
0.00:0.00,42.68,20.36,37.59,-0.24
0.00:0.00,42.58,20.37,35.76,-0.24
0.00:0.00,42.47,20.31,36.40,-0.25
0.00:0.00,42.36,20.18,40.11,-0.24
0.00:0.00,42.23,20.29,41.52,-0.24
0.00:0.00,42.13,20.31,37.26,-0.25
0.00:0.00,42.00,20.11,41.61,-0.24
0.00:0.00,41.89,20.24,39.87,-0.24
0.00:0.00,41.78,20.32,37.20,-0.25
0.00:0.00,41.67,20.26,37.37,-0.25
0.00:0.00,41.55,20.19,39.08,-0.25
0.00:0.00,41.44,20.24,40.46,-0.24
0.00:0.00,41.32,20.32,38.36,-0.25
0.00:0.00,41.22,20.31,35.60,-0.25
0.00:0.00,41.11,20.27,36.32,-0.25
0.00:0.00,41.00,20.12,38.69,-0.24
0.00:0.00,40.88,20.07,40.29,-0.24
0.00:0.00,40.77,20.25,37.96,-0.25
0.00:0.00,40.67,20.25,35.33,-0.25
0.00:0.00,40.55,20.18,39.12,-0.24
0.00:0.00,40.44,20.21,37.38,-0.24
0.00:0.00,40.33,20.21,38.11,-0.24
0.00:0.00,40.22,20.17,38.79,-0.24
0.00:0.00,40.11,20.17,37.18,-0.24
0.00:0.00,39.99,20.09,41.42,-0.23
0.00:0.00,39.87,20.16,40.56,-0.23
0.00:0.00,39.76,20.16,37.37,-0.24
0.00:0.00,39.65,20.16,37.63,-0.24
0.00:0.00,39.53,20.07,41.15,-0.23
0.00:0.00,39.41,20.05,40.42,-0.24
0.00:0.00,39.29,19.97,41.52,-0.23
0.00:0.00,39.17,20.06,41.60,-0.23
0.00:0.00,39.06,20.06,39.19,-0.24
0.00:0.00,38.94,20.12,39.07,-0.24
0.00:0.00,38.83,20.12,37.51,-0.24
0.00:0.00,38.73,20.13,35.53,-0.24
0.00:0.00,38.62,20.07,37.12,-0.23
0.00:0.00,38.51,20.03,38.34,-0.23
0.00:0.00,38.39,19.96,40.33,-0.22
0.00:0.00,38.27,20.03,40.99,-0.22
0.00:0.00,38.15,19.95,39.97,-0.22
0.00:0.00,38.03,19.94,40.90,-0.22
0.00:0.00,37.92,20.01,38.98,-0.22
0.00:0.00,37.81,20.04,37.05,-0.22
0.00:0.00,37.70,20.07,36.53,-0.22
0.00:0.00,37.59,19.89,39.58,-0.21
0.00:0.00,37.46,19.87,43.13,-0.21
0.00:0.00,37.35,20.06,36.89,-0.22
0.00:0.00,37.25,19.96,35.98,-0.22
0.00:0.00,37.14,19.96,38.32,-0.22
0.00:0.00,37.03,19.91,38.14,-0.22
0.00:0.00,36.91,19.97,38.95,-0.23
0.00:0.00,36.80,19.97,37.78,-0.23
0.00:0.00,36.69,19.96,37.24,-0.23
0.00:0.00,36.58,19.87,39.85,-0.23
0.00:0.00,36.45,19.86,41.67,-0.22
0.00:0.00,36.34,19.94,38.63,-0.23
0.00:0.00,36.23,19.92,37.18,-0.24
0.00:0.00,36.12,19.91,37.73,-0.24
0.00:0.00,36.01,19.80,39.39,-0.24
0.00:0.00,35.88,19.82,41.91,-0.24
0.00:0.00,35.77,19.83,39.72,-0.24
0.00:0.00,35.66,19.88,38.08,-0.24
0.00:0.00,35.55,19.89,37.68,-0.25
0.00:0.00,35.44,19.93,36.53,-0.25
0.00:0.00,35.33,19.76,39.23,-0.24
0.00:0.00,35.21,19.78,40.98,-0.23
0.00:0.00,35.09,19.83,39.42,-0.24
0.00:0.00,34.98,19.80,38.45,-0.24
0.00:0.00,34.87,19.81,37.72,-0.24
0.00:0.00,34.76,19.84,37.66,-0.24
0.00:0.00,34.65,19.86,36.87,-0.24
0.00:0.00,34.55,19.85,35.56,-0.24
0.00:0.00,34.44,19.86,34.55,-0.24
0.00:0.00,34.34,19.81,36.53,-0.24
0.00:0.00,34.22,19.81,39.83,-0.23
0.00:0.00,34.12,19.80,35.30,-0.24
0.00:0.00,34.00,19.63,41.46,-0.22
0.00:0.00,33.87,19.74,42.02,-0.22
0.00:0.00,33.77,19.78,37.00,-0.23
0.00:0.00,33.66,19.71,36.00,-0.23
0.00:0.00,33.55,19.72,37.64,-0.23
0.00:0.00,33.44,19.69,39.21,-0.22
0.00:0.00,33.32,19.75,39.48,-0.22
0.00:0.00,33.22,19.79,34.14,-0.23
0.00:0.00,33.12,19.78,33.84,-0.23
0.00:0.00,33.02,19.75,35.13,-0.23
0.00:0.00,32.91,19.64,38.09,-0.23
0.00:0.00,32.79,19.69,41.00,-0.22
0.00:0.00,32.68,19.59,38.32,-0.23
0.00:0.00,32.56,19.65,40.94,-0.22
0.00:0.00,32.44,19.63,38.28,-0.23
0.00:0.00,32.33,19.58,39.33,-0.23
0.00:0.00,32.22,19.64,37.90,-0.23
0.00:0.00,32.11,19.68,35.85,-0.23
0.00:0.00,32.01,19.70,35.96,-0.23
0.00:0.00,31.90,19.61,35.83,-0.23
0.00:0.00,31.79,19.46,38.27,-0.23
0.00:0.00,31.67,19.49,40.65,-0.22
0.00:0.00,31.56,19.61,37.39,-0.23
0.00:0.00,31.46,19.63,36.21,-0.23
0.00:0.00,31.35,19.54,37.33,-0.23
0.00:0.00,31.24,19.54,35.94,-0.23
0.00:0.00,31.13,19.51,38.58,-0.23
0.00:0.00,31.02,19.49,38.54,-0.23
0.00:0.00,30.90,19.47,39.97,-0.23
0.00:0.00,30.78,19.42,40.20,-0.23
0.00:0.00,30.67,19.41,37.79,-0.23
0.00:0.00,30.57,19.50,36.22,-0.24
0.00:0.00,30.46,19.53,35.75,-0.24
0.00:0.00,30.35,19.42,38.37,-0.23
0.00:0.00,30.23,19.34,39.42,-0.23
0.00:0.00,30.12,19.42,38.40,-0.24
0.00:0.00,30.01,19.32,37.68,-0.24
0.00:0.00,29.90,19.36,39.33,-0.24
0.00:0.00,29.79,19.33,37.39,-0.24
0.00:0.00,29.67,19.29,39.15,-0.23
0.00:0.00,29.56,19.37,37.38,-0.24
0.00:0.00,29.46,19.36,35.57,-0.24
0.00:0.00,29.36,19.39,33.83,-0.24
0.00:0.00,29.26,19.27,35.90,-0.24
0.00:0.00,29.14,19.10,38.28,-0.23
0.00:0.00,29.04,19.22,36.37,-0.24
0.00:0.00,28.94,19.23,34.52,-0.24
0.00:0.00,28.84,19.22,33.00,-0.24
0.00:0.00,28.74,19.17,35.36,-0.24
0.00:0.00,28.63,19.09,35.03,-0.23
0.00:0.00,28.60,19.97,12.15,-0.25
0.00:0.00,28.60,20.02,0.11,-0.25
0.00:0.00,28.60,20.05,0.11,-0.25
0.00:0.00,28.60,20.08,0.11,-0.25
0.00:0.00,28.60,20.10,0.11,-0.25
0.00:0.00,28.60,20.12,0.11,-0.25
0.00:0.00,28.60,20.13,0.11,-0.24
0.00:0.00,28.60,20.14,0.11,-0.24
0.00:0.00,28.60,20.15,0.11,-0.24
0.00:0.00,28.60,20.16,0.11,-0.24
0.00:0.00,28.60,20.17,0.12,-0.24
0.00:0.00,28.60,20.17,0.12,-0.23
0.00:0.00,28.60,20.18,0.13,-0.23
0.00:0.00,28.60,20.18,0.13,-0.23
0.00:0.00,28.60,20.19,0.13,-0.23
0.00:0.00,28.60,20.19,0.13,-0.23
0.00:0.00,28.60,20.19,0.14,-0.22
0.00:0.00,28.60,20.20,0.14,-0.23
0.00:0.00,28.60,20.20,0.13,-0.23
0.00:0.00,28.60,20.20,0.13,-0.23
0.00:0.00,28.60,20.20,0.13,-0.23
0.00:0.00,28.60,20.21,0.13,-0.23
0.00:0.00,28.60,20.21,0.14,-0.23
0.00:0.00,28.60,20.21,0.14,-0.22
0.00:0.00,28.60,20.21,0.14,-0.22
0.00:0.00,28.60,20.21,0.14,-0.22
0.00:0.00,28.60,20.22,0.14,-0.22
0.00:0.00,28.60,20.22,0.14,-0.22
0.00:0.00,28.60,20.22,0.15,-0.22
0.00:0.00,28.60,20.16,0.51,-0.22
0.00:0.00,28.50,19.22,33.93,-0.19
0.00:0.00,28.38,19.06,42.13,-0.18
0.00:0.00,28.26,19.11,38.82,-0.18
0.00:0.00,28.15,19.06,36.66,-0.18
0.00:0.00,28.05,18.96,37.36,-0.17
0.00:0.00,27.93,18.80,39.71,-0.17
0.00:0.00,27.82,18.88,36.48,-0.17
0.00:0.00,27.72,18.80,36.78,-0.18
0.00:0.00,27.60,18.68,38.77,-0.18
0.00:0.00,27.50,18.69,36.18,-0.18
0.00:0.00,27.39,18.66,35.78,-0.18
0.00:0.00,27.29,18.60,34.31,-0.18
0.00:0.00,27.19,18.56,34.65,-0.18
0.00:0.00,27.11,19.26,27.27,-0.19
0.00:0.00,27.11,19.39,0.15,-0.20
0.00:0.00,27.11,19.43,0.14,-0.20
0.00:0.00,27.11,19.45,0.14,-0.21
0.00:0.00,27.11,19.47,0.15,-0.20
0.00:0.00,27.11,19.49,0.15,-0.20
0.00:0.00,27.11,19.50,0.15,-0.20
0.00:0.00,27.11,19.51,0.15,-0.20
0.00:0.00,27.11,19.52,0.15,-0.20
0.00:0.00,27.11,19.53,0.15,-0.20
0.00:0.00,27.11,19.54,0.15,-0.20
0.00:0.00,27.11,19.54,0.15,-0.20
0.00:0.00,27.11,19.55,0.15,-0.20
0.00:0.00,27.11,19.55,0.15,-0.20
0.00:0.00,27.11,19.56,0.15,-0.19
0.00:0.00,27.11,19.56,0.15,-0.19
0.00:0.00,27.11,19.56,0.15,-0.20
0.00:0.00,27.11,19.56,0.15,-0.20
0.00:0.00,27.11,19.57,0.14,-0.20
0.00:0.00,27.11,19.57,0.15,-0.20
0.00:0.00,27.11,19.57,0.15,-0.20
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.58,0.15,-0.19
0.00:0.00,27.11,19.59,0.15,-0.20
0.00:0.00,27.11,19.59,0.15,-0.20
0.00:0.00,27.11,19.59,0.14,-0.20
0.00:0.00,27.11,19.59,0.14,-0.20
0.00:0.00,27.11,19.59,0.14,-0.20
0.00:0.00,27.11,19.59,0.14,-0.20
0.00:0.00,27.11,19.60,0.14,-0.20
0.00:0.00,27.11,19.60,0.14,-0.20
0.00:0.00,27.11,19.60,0.13,-0.21
0.00:0.00,27.11,19.60,0.13,-0.21
0.00:0.00,27.11,19.60,0.13,-0.21
0.00:0.00,27.11,19.60,0.12,-0.21
0.00:0.00,27.11,19.60,0.13,-0.21
0.00:0.00,27.11,19.60,0.13,-0.21
0.00:0.00,27.11,19.61,0.12,-0.21
0.00:0.00,27.11,19.61,0.13,-0.21
0.00:0.00,27.11,19.61,0.12,-0.21
0.00:0.00,27.11,19.61,0.13,-0.21
0.00:0.00,27.11,19.61,0.13,-0.21
0.00:0.00,27.11,19.61,0.12,-0.21
0.00:0.00,27.11,19.61,0.12,-0.22
0.00:0.00,27.11,19.61,0.12,-0.22
0.00:0.00,27.11,19.61,0.12,-0.22
0.00:0.00,27.11,19.62,0.12,-0.22
0.00:0.00,27.11,19.62,0.13,-0.21
0.00:0.00,27.11,19.62,0.12,-0.22
0.00:0.00,27.11,19.62,0.12,-0.22
0.00:0.00,27.11,19.62,0.13,-0.21
0.00:0.00,27.11,19.62,0.13,-0.21
