Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,97.11,22.86,45.21,0.37
0.00:0.00,96.98,23.04,44.86,0.35
0.00:0.00,96.85,23.05,43.70,0.37
0.00:0.00,96.72,22.91,44.46,0.35
0.00:0.00,96.59,22.90,47.27,0.34
0.00:0.00,96.44,22.88,49.75,0.31
0.00:0.00,96.31,22.94,43.06,0.28
0.00:0.00,96.19,22.92,43.12,0.26
0.00:0.00,96.05,22.88,46.56,0.28
0.00:0.00,95.92,22.80,44.98,0.21
0.00:0.00,95.80,23.04,42.47,-0.18
0.00:0.00,95.67,22.89,42.46,-0.37
0.00:0.00,95.54,22.88,44.35,-0.24
0.00:0.00,95.41,22.87,44.75,-0.29
0.00:0.00,95.28,22.85,43.40,-0.30
0.00:0.00,95.15,22.83,44.78,-0.30
0.00:0.00,95.02,22.76,46.84,-0.30
0.00:0.00,94.89,22.72,44.87,-0.31
0.00:0.00,94.76,22.78,43.91,-0.32
0.00:0.00,94.63,22.76,42.04,-0.32
0.00:0.00,94.50,22.79,44.46,-0.31
0.00:0.00,94.37,22.83,44.21,-0.31
0.00:0.00,94.24,22.63,45.86,-0.32
0.00:0.00,94.11,22.62,46.08,-0.32
0.00:0.00,93.98,22.77,44.42,-0.32
0.00:0.00,93.84,22.70,45.60,-0.30
0.00:0.00,93.72,22.77,42.15,-0.30
0.00:0.00,93.60,22.76,40.99,-0.30
0.00:0.00,93.48,22.84,40.47,-0.29
0.00:0.00,93.37,22.81,39.56,-0.29
0.00:0.00,93.25,22.85,40.73,-0.29
0.00:0.00,93.12,22.72,42.26,-0.28
0.00:0.00,92.99,22.66,46.05,-0.27
0.00:0.00,92.86,22.61,44.81,-0.27
0.00:0.00,92.73,22.71,44.02,-0.27
0.00:0.00,92.60,22.73,42.97,-0.26
0.00:0.00,92.48,22.79,41.47,-0.27
0.00:0.00,92.36,22.78,43.10,-0.26
0.00:0.00,92.24,22.82,40.27,-0.27
0.00:0.00,92.12,22.59,40.90,-0.27
0.00:0.00,91.99,22.64,43.90,-0.27
0.00:0.00,91.85,22.52,46.52,-0.28
0.00:0.00,91.72,22.60,46.12,-0.27
0.00:0.00,91.59,22.61,45.54,-0.27
0.00:0.00,91.45,22.51,45.16,-0.27
0.00:0.00,91.33,22.57,41.76,-0.28
0.00:0.00,91.19,22.54,47.25,-0.28
0.00:0.00,91.06,22.56,44.27,-0.29
0.00:0.00,90.94,22.51,42.29,-0.30
0.00:0.00,90.81,22.65,43.29,-0.30
0.00:0.00,90.70,22.69,38.70,-0.30
0.00:0.00,90.59,22.69,38.10,-0.30
0.00:0.00,90.46,22.45,44.21,-0.29
0.00:0.00,90.32,22.50,47.48,-0.29
0.00:0.00,90.20,22.56,42.40,-0.30
0.00:0.00,90.07,22.55,42.46,-0.27
0.00:0.00,89.94,22.44,44.33,-0.25
0.00:0.00,89.82,22.45,43.44,-0.24
0.00:0.00,89.69,22.57,43.47,-0.24
0.00:0.00,89.57,22.53,40.91,-0.24
0.00:0.00,89.44,22.39,44.41,-0.23
0.00:0.00,89.31,22.42,43.70,-0.24
0.00:0.00,89.18,22.41,45.17,-0.24
0.00:0.00,89.06,22.48,41.96,-0.25
0.00:0.00,88.93,22.26,44.63,-0.24
0.00:0.00,88.80,22.35,43.44,-0.24
0.00:0.00,88.68,22.44,40.64,-0.25
0.00:0.00,88.55,22.34,43.11,-0.25
0.00:0.00,88.43,22.41,41.87,-0.25
0.00:0.00,88.30,22.43,44.13,-0.25
0.00:0.00,88.18,22.24,41.55,-0.25
0.00:0.00,88.05,22.30,45.85,-0.25
0.00:0.00,87.92,22.26,43.39,-0.25
0.00:0.00,87.79,22.29,45.10,-0.25
0.00:0.00,87.65,22.22,46.30,-0.24
0.00:0.00,87.53,22.35,42.15,-0.25
0.00:0.00,87.40,22.32,43.20,-0.24
0.00:0.00,87.29,22.27,39.37,-0.24
0.00:0.00,87.17,22.42,39.49,-0.24
0.00:0.00,87.06,22.46,38.17,-0.24
0.00:0.00,86.94,22.23,42.96,-0.23
0.00:0.00,86.80,22.17,45.86,-0.23
0.00:0.00,86.67,22.22,44.54,-0.23
0.00:0.00,86.55,22.27,41.55,-0.22
0.00:0.00,86.43,22.31,40.94,-0.22
0.00:0.00,86.31,22.14,41.51,-0.21
0.00:0.00,86.18,22.23,42.88,-0.20
0.00:0.00,86.05,22.18,45.00,-0.19
0.00:0.00,85.93,22.22,40.48,-0.20
