Time,SoC (%),Bat Voltage (V),Bat Current (A),Sol Current (A)
00:00:12,42.24,25.00,0.41,0.17
00:00:13,42.24,25.00,0.41,0.17
00:00:15,42.24,25.00,0.42,0.17
00:00:16,42.24,25.00,0.41,0.17
00:00:18,42.24,25.00,0.41,0.17
00:00:19,42.24,25.00,0.41,0.17
00:00:20,42.24,25.00,0.41,0.17
00:00:22,42.24,25.00,0.41,0.17
00:00:23,42.24,25.00,0.42,0.18
00:00:24,42.24,25.00,0.41,0.17
00:00:26,42.24,25.00,0.41,0.17
00:00:27,42.24,25.00,0.41,0.17
00:00:29,42.24,25.00,0.41,0.17
00:00:30,42.24,25.00,0.41,0.17
00:00:31,42.24,25.00,0.41,0.17
00:00:33,42.24,25.00,0.41,0.17
00:00:34,42.24,25.00,0.42,0.17
00:00:36,42.24,25.00,0.41,0.17
00:00:37,42.24,25.00,0.41,0.17
00:00:38,42.24,25.00,0.41,0.17
00:00:40,42.24,25.00,0.41,0.17
00:00:41,42.24,25.00,0.41,0.17
00:00:42,42.24,25.00,0.41,0.17
00:00:44,42.24,25.00,0.41,0.17
00:00:45,42.24,25.00,0.41,0.17
00:00:47,42.24,25.00,0.41,0.17
00:00:48,42.24,25.00,0.41,0.17
00:00:49,42.24,25.00,0.41,0.17
00:00:51,42.24,25.00,0.41,0.16
00:00:52,42.24,25.00,0.41,0.17
00:00:53,42.24,25.00,0.41,0.17
00:00:55,42.24,25.00,0.41,0.16
00:00:56,42.24,25.00,0.41,0.17
00:00:58,42.24,25.00,0.41,0.17
00:00:59,42.24,25.00,0.41,0.17
00:01:00,42.24,25.00,0.41,0.17
00:01:02,42.24,25.00,0.42,0.17
00:01:03,42.24,25.00,0.41,0.17
00:01:05,42.24,25.00,0.41,0.17
00:01:06,42.24,25.00,0.41,0.17
00:01:07,42.24,25.00,0.41,0.17
00:01:09,42.24,25.00,0.41,0.16
00:01:10,42.24,25.01,0.41,0.17
00:01:11,42.24,25.01,0.41,0.17
00:01:13,42.24,25.01,0.42,0.17
00:01:14,42.24,25.01,0.42,0.17
00:01:16,42.24,25.01,0.41,0.17
00:01:17,42.24,25.01,0.41,0.17
00:01:18,42.24,25.01,0.41,0.17
00:01:20,42.24,25.01,0.41,0.17
00:01:21,42.24,25.01,0.42,0.17
00:01:22,42.24,25.01,0.42,0.17
00:01:24,42.24,25.01,0.41,0.16
00:01:25,42.24,25.01,0.41,0.16
00:01:27,42.24,25.01,0.41,0.16
00:01:28,42.24,25.01,0.41,0.16
00:01:29,42.24,25.01,0.41,0.16
00:01:31,42.24,25.01,0.41,0.16
00:01:32,42.24,25.01,0.41,0.17
00:01:33,42.24,25.01,0.41,0.16
00:01:35,42.24,25.01,0.41,0.17
00:01:36,42.24,25.01,0.41,0.17
00:01:38,42.24,25.01,0.41,0.17
00:01:39,42.24,25.01,0.41,0.17
00:01:40,42.24,25.01,0.41,0.17
00:01:42,42.24,25.02,0.41,0.17
00:01:43,42.24,25.02,0.41,0.17
00:01:45,42.24,25.02,0.41,0.17
00:01:46,42.24,25.02,0.41,0.17
00:01:47,42.24,25.02,0.41,0.17
00:01:49,42.24,25.02,0.41,0.17
00:01:50,42.24,25.02,0.41,0.17
00:01:51,42.24,25.02,0.41,0.17
00:01:53,42.24,25.02,0.41,0.17
00:01:54,42.24,25.02,0.41,0.17
00:01:56,42.24,25.02,0.41,0.17
00:01:57,42.24,25.02,0.41,0.16
00:01:58,42.24,25.02,0.41,0.17
00:02:00,42.24,25.02,0.41,0.16
00:02:01,42.24,25.02,0.41,0.16
00:02:02,42.24,25.03,0.41,0.17
00:02:04,42.24,25.03,0.41,0.17
00:02:05,42.24,25.03,0.41,0.16
00:02:07,42.24,25.03,0.41,0.16
00:02:08,42.24,25.03,0.41,0.17
00:02:09,42.24,25.03,0.41,0.17
00:02:11,42.24,25.03,0.41,0.17
00:02:12,42.24,25.03,0.41,0.17
00:02:14,42.24,25.03,0.41,0.17
00:02:15,42.24,25.03,0.41,0.17
00:02:16,42.24,25.03,0.41,0.17
00:02:18,42.24,25.03,0.41,0.17
00:02:19,42.24,25.03,0.41,0.17
00:02:20,42.24,25.02,0.41,0.16
00:02:22,42.24,25.02,0.41,0.17
00:02:23,42.24,25.02,0.41,0.16
00:02:25,42.24,25.02,0.41,0.17
00:02:26,42.24,25.02,0.41,0.17
00:02:27,42.24,25.02,0.41,0.17
00:02:29,42.24,25.02,0.41,0.17
00:02:30,42.24,25.02,0.42,0.17
00:02:31,42.24,25.02,0.41,0.17
00:02:33,42.24,25.02,0.41,0.18
