Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
5:46,100.00,0.05,0.71,0.22
0:2,100.00,0.05,0.71,0.22
0:3,100.00,0.05,0.71,0.22
0:5,100.00,0.05,0.71,0.22
0:6,100.00,0.05,0.71,0.22
0:7,100.00,0.05,0.71,0.22
0:9,100.00,0.05,0.71,0.22
0:10,100.00,0.05,0.71,0.22
0:12,100.00,0.05,0.71,0.22
0:13,100.00,0.05,0.71,0.22
0:14,100.00,0.05,0.71,0.22
0:16,100.00,0.05,0.71,0.22
0:17,100.00,0.05,0.71,0.22
0:18,100.00,0.05,0.71,0.22
0:20,100.00,0.05,0.71,0.22
0:21,99.99,0.05,4.92,0.21
0:23,99.95,0.05,11.49,0.19
0:24,99.95,0.05,0.56,0.19
0:25,99.95,0.05,0.56,0.19
0:27,99.95,0.05,0.56,0.19
0:28,99.95,0.05,0.56,0.19
0:30,99.95,0.05,0.56,0.19
0:31,99.95,0.05,0.56,0.19
0:32,99.95,0.05,0.56,0.19
0:34,99.95,0.06,0.56,0.19
0:35,99.95,0.05,0.45,0.19
0:36,99.95,0.05,0.40,0.19
0:38,99.95,0.03,0.43,0.23
0:39,99.95,0.06,0.40,0.20
0:47,99.82,16.07,6.69,6.40
0:48,99.82,0.82,0.48,0.17
0:50,99.81,0.92,2.94,-2.68
0:51,99.81,0.07,0.48,0.16
0:54,100.00,0.07,0.54,0.17
0:55,100.00,0.07,0.54,0.17
0:57,100.00,0.07,0.48,0.17
0:58,100.00,0.06,0.44,0.16
0:59,100.00,0.06,0.42,0.17
1:1,100.00,0.06,0.43,0.17
1:2,100.00,0.06,0.43,0.17
2:13,98.66,1.12,6.57,6.33
2:15,98.66,1.03,0.41,0.17
2:16,98.66,0.07,0.57,0.18
2:17,98.66,0.07,0.50,0.18
2:19,98.66,0.06,0.46,0.17
2:20,98.66,0.07,0.59,0.18
2:21,98.66,0.06,0.58,0.18
2:23,98.66,0.06,0.47,0.17
2:24,98.66,0.06,0.48,0.17
2:26,98.66,0.06,0.50,0.18
2:27,98.66,0.06,0.47,0.18
2:28,98.66,0.06,0.46,0.18
2:30,98.66,0.06,0.45,0.18
2:31,98.66,0.06,0.46,0.18
2:32,98.66,0.06,0.59,0.18
2:34,98.66,0.06,0.48,0.18
2:35,98.66,0.08,0.46,0.18
2:37,98.66,0.06,0.43,0.18
2:38,98.66,0.06,0.43,0.18
2:39,98.66,0.07,0.43,0.18
2:41,98.66,0.06,0.44,0.18
2:42,98.66,0.05,0.39,0.18
2:44,98.66,0.05,0.51,0.30
2:45,98.66,0.05,0.41,0.18
2:46,98.66,0.05,0.45,0.18
2:48,98.66,0.04,0.45,0.18
2:49,98.66,0.04,0.44,0.18
2:50,98.66,0.05,0.40,0.18
2:52,98.66,0.05,0.40,0.18
2:53,98.66,0.05,0.40,0.17
2:55,98.66,0.05,0.46,0.18
2:56,98.66,0.05,0.47,0.17
2:57,98.66,0.05,0.50,0.17
2:59,98.66,0.05,0.42,0.17
3:0,98.66,0.05,0.39,0.17
3:1,98.66,0.05,0.44,0.17
3:3,98.66,0.05,0.45,0.17
3:4,98.66,0.05,0.44,0.17
3:6,98.66,0.05,0.42,0.17
3:7,98.66,0.05,0.40,0.17
3:8,98.66,0.06,0.39,0.17
3:10,98.66,0.05,0.39,0.17
3:11,98.66,0.05,0.38,0.17
3:13,98.66,0.05,0.38,0.17
3:14,98.66,0.05,0.38,0.17
3:15,98.66,0.05,0.38,0.17
3:17,98.66,0.05,0.38,0.17
3:18,98.66,0.05,0.41,0.17
3:19,98.66,0.21,0.41,0.18
3:21,98.66,0.05,0.52,0.18
3:22,98.66,0.95,0.75,0.48
3:24,98.66,0.04,0.37,0.17
3:25,98.66,0.04,0.38,0.17
3:26,98.66,0.04,0.38,0.17
3:28,98.66,24.59,0.38,0.17
3:29,98.66,25.00,0.39,0.17
3:30,98.66,25.00,0.39,0.17
3:32,98.66,3.38,0.40,0.17
3:33,98.66,0.03,0.44,0.17
3:35,98.66,5.61,0.41,0.17
3:37,100.00,0.02,0.38,0.17
3:38,100.00,0.03,0.38,0.17
3:40,100.00,0.02,0.39,0.17
3:41,100.00,0.04,0.39,0.17
3:42,100.00,25.00,0.39,0.17
3:44,100.00,25.01,0.39,0.17
3:45,100.00,25.01,0.39,0.17
3:46,100.00,25.01,0.39,0.17
