Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0:9,132.38,0.04,-18.13,-18.09
0:10,132.43,0.04,-18.05,-18.01
0:13,132.54,0.04,-18.27,-18.22
0:16,132.65,0.04,-18.27,-18.22
0:17,132.70,0.04,-18.27,-18.23
0:21,132.86,0.04,-18.27,-18.23
0:24,132.97,0.04,-18.27,-18.22
0:26,133.02,0.04,-18.26,-18.21
0:37,133.45,0.04,-18.23,-18.18
0:41,133.60,0.04,-18.13,-18.08
0:44,133.71,0.04,-18.12,-18.08
0:45,133.76,0.04,-18.12,-18.08
0:46,133.82,0.04,-18.12,-18.08
0:48,133.87,0.04,-18.12,-18.07
0:49,133.92,0.04,-18.12,-18.07
0:52,134.03,0.04,-18.12,-18.08
0:53,134.08,0.04,-18.12,-18.07
1:0,134.35,0.04,-18.10,-18.05
1:1,134.40,0.04,-18.10,-18.05
1:7,134.61,0.04,-18.09,-18.05
1:32,135.53,0.04,-16.53,-16.48
1:33,135.58,0.04,-16.39,-16.34
1:35,135.63,0.04,-16.46,-16.41
1:39,135.77,0.04,-16.49,-16.43
1:40,135.82,0.04,-16.65,-16.54
1:41,135.87,0.04,-17.18,-17.13
1:44,135.97,0.04,-17.20,-17.15
1:46,136.02,0.04,-17.27,-17.22
1:47,136.07,0.05,-17.31,-17.27
1:53,136.27,0.04,-17.04,-16.99
1:54,136.32,0.03,-16.90,-16.82
1:55,136.37,-0.01,-16.44,-16.41
1:58,136.38,-0.02,0.60,0.25
0:4,99.72,0.06,40.65,0.23
0:5,99.61,0.06,38.27,0.23
0:6,99.50,0.06,36.60,0.23
0:8,99.40,0.06,35.88,0.23
0:9,99.30,0.06,35.22,0.23
0:11,99.19,0.06,34.98,0.22
0:12,99.09,0.06,35.11,0.22
0:13,98.99,0.06,34.55,0.22
0:15,98.89,0.06,34.32,0.22
0:16,98.79,0.06,34.09,0.23
0:17,98.69,0.06,33.91,0.22
0:19,98.59,0.06,34.00,0.22
0:20,98.49,0.06,34.06,0.22
0:22,98.39,0.06,34.25,0.23
0:23,98.29,0.06,33.84,0.23
0:24,98.19,0.06,33.74,0.23
0:26,98.10,0.06,33.64,0.23
0:27,98.00,0.06,33.69,0.23
0:28,97.90,0.06,33.71,0.23
0:30,97.80,0.06,33.56,0.23
0:31,97.70,0.06,33.28,0.23
0:33,97.61,0.06,33.24,0.23
0:34,97.51,0.06,33.30,0.23
0:35,97.41,0.06,33.20,0.23
0:37,97.31,0.06,33.20,0.23
0:38,97.22,0.06,33.18,0.23
0:40,97.12,0.06,33.38,0.23
0:41,97.02,0.06,32.88,0.23
0:42,96.93,0.06,32.82,0.22
0:44,96.83,0.06,32.83,0.22
0:45,96.74,0.06,32.68,0.23
0:46,96.64,0.06,32.72,0.23
0:48,96.54,0.06,32.63,0.23
0:49,96.45,0.06,32.55,0.23
0:51,96.35,0.06,32.88,0.23
0:52,96.26,0.06,32.40,0.23
0:53,96.16,0.06,32.49,0.23
0:55,96.07,0.06,32.50,0.23
0:56,95.97,0.06,32.20,0.23
0:57,95.88,0.06,32.37,0.23
0:59,95.79,0.06,32.36,0.23
1:0,95.69,0.06,32.38,0.23
1:2,95.60,0.06,32.30,0.23
1:3,95.50,0.06,32.22,0.23
1:4,95.41,0.06,32.36,0.23
1:6,95.31,0.06,32.38,0.23
1:7,95.22,0.06,32.47,0.23
1:8,95.12,0.06,32.27,0.23
1:10,95.03,0.06,32.41,0.23
1:11,94.93,0.06,32.27,0.23
1:13,94.84,0.06,32.33,0.23
1:14,94.75,0.06,32.31,0.23
1:15,94.65,0.06,32.27,0.23
1:17,94.56,0.06,32.13,0.23
1:18,94.46,0.06,32.20,0.23
1:20,94.37,0.06,32.26,0.23
1:21,94.27,0.06,32.30,0.23
1:22,94.18,0.06,32.16,0.23
1:24,94.09,0.06,31.94,0.23
1:25,93.99,0.06,32.06,0.23
1:26,93.90,0.06,32.13,0.23
1:28,93.81,0.06,31.97,0.23
1:29,93.71,0.06,32.03,0.23
1:31,93.62,0.06,31.85,0.23
1:32,93.53,0.06,31.80,0.23
1:33,93.43,0.06,31.83,0.23
1:35,93.34,0.06,31.81,0.23
1:36,93.25,0.06,31.63,0.23
1:37,93.15,0.06,31.82,0.23
1:39,93.06,0.06,31.75,0.22
1:40,92.97,0.06,31.75,0.22
1:42,92.88,0.06,31.65,0.22
1:43,92.78,0.06,31.78,0.22
1:44,92.69,0.06,31.70,0.22
1:46,92.60,0.06,31.64,0.22
1:47,92.51,0.06,31.58,0.23
1:49,92.41,0.06,31.61,0.22
1:50,92.32,0.06,31.59,0.22
1:51,92.23,0.06,31.50,0.23
1:53,92.14,0.06,31.70,0.23
1:54,92.04,0.06,31.59,0.23
1:55,91.95,0.06,31.59,0.23
1:57,91.86,0.06,31.61,0.23
1:58,91.77,0.06,31.54,0.23
2:0,91.67,0.06,31.47,0.23
2:1,91.58,0.06,31.45,0.22
2:2,91.49,0.06,31.42,0.22
2:4,91.40,0.06,31.38,0.22
2:5,91.31,0.06,31.35,0.22
2:6,91.21,0.06,31.50,0.22
2:8,91.12,0.06,31.35,0.22
2:9,91.03,0.06,31.47,0.22
2:11,90.94,0.06,31.36,0.22
2:12,90.85,0.06,31.30,0.22
2:13,90.76,0.06,31.30,0.22
2:15,90.66,0.06,31.46,0.22
2:16,90.57,0.06,31.39,0.22
2:17,90.48,0.06,31.41,0.22
2:19,90.39,0.06,31.34,0.22
2:20,90.30,0.06,31.16,0.23
2:22,90.21,0.06,31.27,0.23
2:23,90.11,0.06,31.35,0.22
2:24,90.02,0.06,31.22,0.23
2:26,89.93,0.06,31.22,0.23
2:27,89.84,0.06,31.21,0.23
2:29,89.75,0.06,31.15,0.22
2:30,89.66,0.06,31.17,0.22
2:31,89.57,0.06,31.17,0.23
2:33,89.48,0.06,31.13,0.23
2:34,89.39,0.06,30.98,0.22
2:35,89.30,0.06,31.02,0.22
2:37,89.20,0.06,31.14,0.22
2:38,89.11,0.06,31.08,0.22
2:40,89.02,0.06,31.08,0.22
2:41,88.93,0.06,31.00,0.22
2:42,88.84,0.06,30.89,0.22
2:44,88.75,0.06,30.98,0.22
2:45,88.66,0.06,30.89,0.23
2:46,88.57,0.06,30.86,0.22
2:48,88.48,0.06,30.88,0.23
2:49,88.39,0.06,30.89,0.22
2:53,88.12,0.06,30.92,0.22
3:2,87.58,0.06,31.05,0.23
3:3,87.49,0.06,30.87,0.23
3:4,87.39,0.06,30.91,0.23
3:10,87.03,0.06,30.78,0.23
3:11,86.94,0.06,30.85,0.23
3:13,86.85,0.06,30.88,0.23
3:15,86.67,0.06,30.75,0.23
3:17,86.58,0.06,30.80,0.23
3:18,86.49,0.06,31.08,0.22
3:21,86.31,0.06,31.48,0.23
3:22,86.21,0.06,32.64,0.22
3:24,86.11,0.06,34.51,0.23
3:25,86.01,0.06,34.81,0.23
3:28,85.81,0.06,35.27,0.23
3:29,85.70,0.06,35.19,0.23
3:32,85.50,0.06,34.85,0.23
3:33,85.40,0.06,34.09,0.23
3:36,85.21,0.06,31.90,0.23
3:38,85.12,0.06,31.26,0.22
3:43,84.76,0.06,30.46,0.26
3:44,84.67,0.06,30.39,0.26
3:47,84.49,0.06,30.20,0.25
3:51,84.23,0.06,30.04,0.25
3:53,84.14,0.06,30.19,0.25
3:55,83.96,0.06,29.99,0.25
3:57,83.88,0.06,30.06,0.25
3:58,83.79,0.06,30.06,0.26
4:0,83.70,0.06,29.92,0.26
4:1,83.61,0.06,30.06,0.25
4:2,83.53,0.06,30.15,0.25
4:4,83.44,0.06,29.97,0.25
4:5,83.35,0.06,29.90,0.25
4:7,83.26,0.06,30.13,0.25
4:8,83.17,0.06,29.94,0.25
4:9,83.09,0.06,29.90,0.25
4:11,83.00,0.06,30.10,0.25
4:12,82.91,0.06,29.95,0.25
4:13,82.82,0.06,29.90,0.25
4:15,82.74,0.06,29.84,0.25
4:16,82.65,0.06,30.03,0.25
4:18,82.56,0.06,29.88,0.25
4:19,82.47,0.06,30.07,0.25
4:20,82.39,0.06,29.83,0.26
4:22,82.30,0.06,29.87,0.26
4:23,82.21,0.06,30.01,0.26
4:24,82.12,0.06,29.81,0.25
4:26,82.04,0.06,29.83,0.25
4:27,81.95,0.06,29.85,0.26
4:29,81.86,0.06,29.80,0.26
4:30,81.78,0.06,29.84,0.26
4:31,81.69,0.06,29.79,0.25
4:33,81.60,0.06,29.88,0.26
4:34,81.51,0.06,29.81,0.26
4:35,81.43,0.06,29.65,0.26
4:37,81.34,0.06,29.74,0.26
4:38,81.25,0.06,29.69,0.25
4:40,81.17,0.06,29.67,0.25
4:41,81.08,0.06,29.84,0.26
4:42,80.99,0.06,29.70,0.26
4:44,80.91,0.06,29.51,0.26
4:45,80.82,0.06,29.62,0.25
4:47,80.73,0.06,29.58,0.25
4:48,80.65,0.06,29.67,0.25
4:49,80.56,0.06,29.60,0.25
4:51,80.47,0.06,29.73,0.25
4:52,80.39,0.06,29.56,0.25
4:53,80.30,0.06,29.55,0.25
4:55,80.21,0.06,29.92,0.25
4:56,80.13,0.06,29.47,0.25
4:58,80.04,0.06,29.51,0.25
4:59,79.95,0.06,29.66,0.25
5:0,79.87,0.06,29.65,0.25
5:2,79.78,0.06,29.55,0.25
5:3,79.69,0.06,29.53,0.25
5:4,79.61,0.06,29.50,0.25
5:6,79.52,0.06,29.53,0.26
5:7,79.44,0.06,29.61,0.26
5:9,79.35,0.06,29.60,0.25
5:10,79.26,0.06,29.36,0.26
5:11,79.18,0.06,29.63,0.25
5:13,79.09,0.06,29.61,0.26
5:14,79.00,0.06,29.40,0.26
5:16,78.92,0.06,29.44,0.26
5:17,78.83,0.06,29.60,0.25
5:18,78.74,0.06,29.55,0.25
5:20,78.66,0.06,29.37,0.26
5:21,78.57,0.06,30.01,0.25
5:22,78.48,0.06,29.39,0.26
5:24,78.40,0.06,29.44,0.25
5:25,78.31,0.06,29.70,0.25
5:27,78.23,0.06,29.61,0.26
5:28,78.14,0.06,29.20,0.26
5:29,78.05,0.06,29.65,0.26
5:31,77.97,0.06,29.59,0.26
5:32,77.88,0.06,29.11,0.26
5:33,77.79,0.06,29.69,0.26
5:35,77.71,0.06,29.33,0.26
5:36,77.62,0.06,29.29,0.25
5:38,77.54,0.06,29.44,0.25
5:39,77.45,0.06,29.39,0.26
5:40,77.37,0.06,29.22,0.26
5:42,77.28,0.06,29.40,0.26
5:43,77.19,0.06,29.32,0.26
5:44,77.11,0.06,29.33,0.26
5:46,77.02,0.06,29.40,0.25
5:47,76.94,0.06,29.16,0.26
5:49,76.85,0.06,29.37,0.26
5:50,76.77,0.06,29.18,0.26
5:51,76.68,0.06,29.53,0.26
5:53,76.59,0.06,29.24,0.26
5:54,76.51,0.06,29.23,0.26
5:56,76.42,0.06,29.35,0.25
5:57,76.34,0.06,29.04,0.26
5:58,76.25,0.06,29.48,0.26
6:0,76.17,0.06,29.19,0.26
6:1,76.08,0.06,29.02,0.26
6:2,76.00,0.06,29.47,0.26
6:4,75.91,0.06,29.09,0.25
6:5,75.83,0.06,28.92,0.26
6:7,75.74,0.06,29.38,0.25
6:8,75.66,0.06,28.91,0.25
6:9,75.57,0.06,29.10,0.26
6:11,75.48,0.06,29.67,0.26
6:12,75.40,0.06,28.70,0.26
6:13,75.31,0.06,29.37,0.26
6:15,75.23,0.06,28.91,0.26
6:16,75.14,0.06,28.95,0.26
6:18,75.06,0.06,29.17,0.26
6:19,74.98,0.06,28.73,0.26
6:20,74.89,0.06,29.32,0.26
6:22,74.80,0.06,28.99,0.26
6:23,74.72,0.06,28.93,0.26
6:25,74.63,0.06,29.31,0.26
6:27,74.46,0.06,29.34,0.26
6:29,74.38,0.06,29.02,0.26
6:33,74.12,0.06,29.02,0.26
6:34,74.04,0.06,29.16,0.26
6:36,73.95,0.06,28.92,0.26
6:37,73.87,0.06,29.16,0.26
6:38,73.78,0.06,29.06,0.26
6:40,73.70,0.06,29.05,0.26
6:41,73.61,0.06,29.01,0.26
6:42,73.53,0.06,28.92,0.26
6:44,73.45,0.06,28.73,0.26
6:45,73.36,0.06,29.07,0.26
6:48,73.19,0.06,28.88,0.26
6:49,73.11,0.06,28.88,0.26
6:51,73.02,0.06,28.89,0.26
6:52,72.94,0.06,29.11,0.26
6:53,72.85,0.06,28.74,0.26
6:55,72.77,0.06,29.11,0.26
6:56,72.68,0.06,28.78,0.26
6:58,72.60,0.06,28.74,0.26
6:59,72.52,0.06,28.87,0.26
7:2,72.35,0.06,28.80,0.26
7:5,72.17,0.06,30.69,0.26
7:6,72.08,0.06,31.72,0.27
7:9,71.89,0.06,33.10,0.27
7:10,71.79,0.06,33.37,0.26
7:11,71.69,0.06,33.20,0.26
7:13,71.60,0.06,33.18,0.26
7:14,71.50,0.06,32.63,0.26
7:16,71.40,0.06,32.61,0.25
7:17,71.31,0.06,31.99,0.25
7:22,70.96,0.06,29.68,0.25
7:25,70.78,0.06,29.28,0.25
7:27,70.70,0.06,29.47,0.25
7:28,70.61,0.06,29.35,0.25
7:29,70.53,0.06,29.29,0.25
